Gene1	Gene2	Weight
SLC10A2	NLRP9P	0.76514673
RBP3	WBP1LP1	0.7646677
PRAMENP	AP000479.1	0.7646485
IGHV3-21	IGHV3-74	0.76464367
LINC00934	AP005901.1	0.76444894
NEUROD4	RP11-521H3.3	0.7643233
IGHM	IGKV1-16	0.7642004
HS6ST3	AMMECR1LP1	0.76396567
IGKV1D-39	IGLV3-1	0.7633484
PRAMEF18	LINC00320	0.76302356
UBQLN1P1	OR6K1P	0.76298016
SLC10A2	TMPRSS11BNL	0.7629393
RP11-704C2.1	LINC01192	0.7628322
CTAGE16P	AC018890.4	0.76282305
ZIC4	ZIC1	0.76272887
OR52E4	OR52E6	0.7625368
OR2J1	RP11-1281K21.1	0.7623603
PABPC1P12	RP11-80F22.5	0.7623537
RP11-20F18.1	LINC00706	0.7621847
RP11-634B7.4	OR14A2	0.7619327
SNORA71A	SNORA71C	0.7619241
RP13-631K18.2	RP11-544P1.3	0.7617836
CTD-2015G9.2	CTD-2015G9.1	0.7614786
TMEM74	LINC01204	0.7611994
CTD-3145H4.1	RP11-490G2.2	0.76100653
RP11-527H14.6	ANKRD30BP1	0.76099795
CTD-3145H4.1	RP11-434D2.3	0.76095825
RP11-1437A8.4	SSX6	0.76084423
HSPD1P15	ABCF2P1	0.7607398
TSPAN19	RP11-327I22.5	0.7606321
IGHV3-21	IGKV1D-39	0.7606209
IGHV3-7	IGHV3-72	0.7605309
SIRPG-AS1	SIRPG	0.76052064
OR8X1P	MTND4P5	0.7604837
ADAM20P3	RP11-100K18.1	0.76026505
TPD52L3	RP11-618P13.1	0.7601071
CTD-3145H4.1	RP11-313I2.5	0.75999016
IGHV3-21	IGLV1-51	0.75976706
RP11-367G6.3	ASS1P1	0.75953627
CTD-3145H4.1	SUCLA2P1	0.7595222
AC144833.1	GABRG3	0.759465
LINC01452	LINC00668	0.75904894
RP11-331K15.1	EEF1A1P36	0.759007
CTC-304I17.1	RP4-668E10.4	0.7588218
VDAC1P9	TISP43	0.75878763
TUBBP6	LINC00410	0.75878435
AC140725.8	LINC00864	0.7587121
LINC01019	POTEA	0.7585945
LEMD1-AS1	BLACAT1	0.75836533
IGHV3-21	IGKV3-15	0.7583508
OR10K1	ZSCAN5C	0.75830156
PAX5	LINC00402	0.75821805
UBQLN1P1	SLC25A3P1	0.75815415
LINC01192	RP11-566K19.12	0.7579096
CTA-280A3.1	CTA-280A3.2	0.75789505
AGR2	FOXA1	0.7578519
RP11-15H7.2	RP4-775D17.1	0.75773007
CTD-3145H4.1	ME2P1	0.75750446
LINC00558	LINC01581	0.7572171
PAX5	FCRL2	0.75710136
C21orf91-OT1	CHODL-AS1	0.75690657
CYP4Z1	RP11-184J23.2	0.7567981
RP11-704C2.1	RP5-1004I9.1	0.75673145
CTD-3145H4.1	MTND4P1	0.7566822
IGHV3-21	IGLV2-14	0.75657624
CTC-304I17.1	LINC01257	0.75653577
LINC01192	AC034110.1	0.75649977
IGHV3-21	IGKV3-11	0.7564953
LINC01192	RP11-481J2.2	0.7564063
PTPRD-AS2	CLEC4M	0.75637275
PAX5	CR2	0.75637054
PAX5	MS4A1	0.7563372
OR2L13	RSPO2	0.75632
SPANXN2	OR5BE1P	0.7561979
PANX3	OR8B1P	0.7561334
REG1B	RP11-300M24.1	0.75604653
XXyac-YR12DB5.1	RP11-395E19.6	0.756012
RP11-445F12.1	LHX1	0.75592464
LINC01226	LINC01225	0.7557631
RP11-494M8.4	RP11-35J10.6	0.75571793
RP13-631K18.2	HSPD1P15	0.7557171
FAM83A	FAM83A-AS1	0.75567883
IGKV1D-39	IGLV3-19	0.7555976
KLHL1	LINC01205	0.75553805
RP11-104C4.2	UGT2B10	0.7553177
RP11-747D18.1	LINC00919	0.75528735
MYT1L-AS1	EXOC7P1	0.7552716
RP11-331K15.1	VN1R7P	0.75518924
RP13-631K18.2	MIR7515HG	0.75486135
ERVV-2	LINC01114	0.75475246
RP11-805I24.3	LINC00454	0.7547272
KRT16	PPP1R14C	0.7545857
TAAR2	RP11-333A23.3	0.75453806
CTD-2058B24.2	LINC00517	0.7544446
MAGEA3	MAGEA6	0.7544434
RP11-331K15.1	RP11-21L1.1	0.754441
RP13-631K18.2	RPTN	0.75428945
MTND5P6	ZNF716	0.754172
RP11-319E16.2	RP11-1038A11.3	0.7535567
RP4-630C24.3	HSPD1P8	0.75348425
OR8G2P	OR8G7P	0.7531438
IGHV3-21	IGLV1-44	0.7531056
RP11-91I20.3	AL672296.1	0.75296825
TRIM29	RP11-832A4.7	0.75278926
MOG	ZFP57	0.7527488
CTC-304I17.1	SALL4P5	0.75253344
SNX18P3	ANKRD18A	0.7525175
RP13-977E11.1	PABPC1P9	0.75246555
IGHV3-21	IGHV3-53	0.75235724
ETV3L	MAGEB4	0.75188094
RP11-331K15.1	RP11-73B8.2	0.75181216
LINC01192	AC018890.4	0.75171465
LEMD1-AS1	AC067956.1	0.75171185
IGHV3-11	IGHV1-69-2	0.75170213
GZMA	GZMK	0.7516845
KLK10	KLK7	0.7516338
RP1-172B20.6	SLC34A1	0.7514989
LINC00393	LINC00392	0.7514624
MAGEB10	RP11-387A1.6	0.7514599
IGHV4-59	IGHV1-46	0.75144607
PPP4R4	SERPINA10	0.75144035
GPR128	LUZP4	0.7512343
RP11-629G13.1	RP11-80F22.10	0.75117
IGHV3-30	IGKV1-33	0.75116116
RP11-704C2.1	RP11-19D2.2	0.7510934
IGHV3-21	IGKV1-5	0.7509958
ADAM7	RP11-639F1.2	0.75082046
RP11-704C2.1	RP11-488I20.9	0.7507344
IGKV1D-39	IGHV3-15	0.75059366
LINC01192	ACTR3BP3	0.75051355
LINC01109	RP11-342F21.1	0.7502246
RP11-495K9.2	RP11-560A7.1	0.75019234
RP11-104C4.2	RIOK3P1	0.74997526
RP11-601H16.1	CYCSP6	0.7498183
RP11-704C2.1	RP11-535I24.2	0.7497904
RP11-165H23.1	SNCA-AS1	0.7497069
OR10C1	DKFZP434K028	0.7496155
RP11-538C21.2	RP4-547N15.3	0.7495951
RP11-1O2.1	RP11-261N11.8	0.74949867
MTND4P1	AC092638.1	0.7493765
IGLV1-44	IGKV1-17	0.7491858
OR2J1	LINC01015	0.7491359
LINC01109	SLC4A1APP2	0.7489378
IGHV3-21	IGLV2-23	0.74864095
HNF4GP1	RP3-334F4.1	0.74861175
RP11-735A19.2	EIF2S2P2	0.74841124
OR4G1P	GS1-590J6.2	0.74838775
UGT2B4	RP11-307A17.2	0.74834675
SPATA31C1	LINC01192	0.748271
CTD-2015G9.2	SOX9-AS1	0.7482168
RP11-624L4.2	FSIP1	0.74816704
RP11-704C2.1	SSX6	0.7481515
RP11-30H9.1	RP11-110H1.8	0.7480362
PANX3	OR8B4	0.74787587
RP11-494M8.4	OR5E1P	0.7478265
AC006004.1	FBXL21	0.74771327
ICE2P2	OR5K3	0.7477079
IGHV3-21	CD19	0.74762416
RP11-294L13.1	RP11-474D1.3	0.7475209
RP11-244H18.3	RP11-536C10.10	0.74750775
ANTXRL	VRTN	0.74747974
LEMD1-AS1	LEMD1	0.7472908
LINC00836	LINC00371	0.7471172
GP2	CT62	0.7469879
SOX10	GABRP	0.7469108
GPR128	RP11-489P6.2	0.74682236
KLK7	KLK6	0.7467795
RP11-56L13.3	TAAR3	0.7467611
RP3-399J4.4	BRD7P1	0.74671525
RP11-1217F2.3	AP003900.6	0.7466657
AC012456.3	BLACAT1	0.7466118
ROPN1B	SOX9-AS1	0.74621195
OR52N3P	OR52N1	0.74617237
LINC00934	RP13-580B18.2	0.74605876
FCRL3	RP3-492J12.2	0.7459622
SPATA31C1	SATB2-AS1	0.74577504
CTD-3145H4.1	CTD-3229J4.1	0.7457383
EN1	RP11-19E11.1	0.74556655
IGHV3-21	IGLV1-40	0.7453196
RP1-172B20.6	C10orf126	0.7452743
RP11-104C4.2	VEZF1P1	0.74526614
RP11-704C2.1	AC003984.1	0.74515754
CDH10	CAPZA3	0.745141
HAND1	RP11-670N15.1	0.74503946
AC073065.3	RP11-70F11.11	0.7449855
PABPC1P12	C10orf53	0.74489206
IGHV4-59	IGHV2-5	0.74480873
RP11-287F9.1	AC093802.1	0.74465424
IGHV4-59	IGKC	0.7446017
ROPN1B	AC012456.3	0.74456716
POU3F4	RP11-498E11.2	0.7445658
LINC00558	ATP5BP1	0.744441
IGHV4-59	IGLV3-25	0.7443156
PAX5	CNR2	0.7442811
RP11-519M16.1	MTND4P1	0.7441592
RP4-815D20.1	DDX50P2	0.7441497
TNFRSF13B	BLK	0.74414617
POU3F4	RP11-728D14.6	0.7441245
CTD-2331D11.4	CTD-2331D11.3	0.7440484
LINC01192	TMPRSS11B	0.74388313
CTB-43I4.1	RP1-217P22.2	0.7438717
OR10K1	OR4K5	0.7437921
RP11-544P1.3	RP11-91I20.3	0.74377084
LINC01104	SMIM21	0.7436554
KRT18P46	SUN3	0.74352694
PAX5	BLK	0.7435257
RP6-218J18.2	RP11-814P5.1	0.7434785
RP11-305P22.9	RP11-946L20.1	0.7433837
RP11-491F9.5	RP11-31K23.2	0.74322516
PAX5	FCRLA	0.74289036
SERPINB5	KRT16	0.74281025
ADIPOQ	CIDEC	0.7427514
RP11-63B13.1	RP11-234O6.2	0.742676
IGHV3-21	IGLV3-10	0.74266547
CTD-3145H4.1	RP11-436D23.1	0.74226993
XXyac-YR12DB5.1	MTND5P17	0.7420508
TRIM29	SERPINB5	0.7419977
RP11-331K15.1	RP3-428A13.2	0.74185926
RP11-331K15.1	RP11-152L7.2	0.74179524
PARP1P1	RP11-42L13.3	0.741772
RP11-307A17.2	RP11-760D2.11	0.74171495
LEMD1-AS1	OFCC1	0.74156207
IGHG3	IGHGP	0.7415125
UBQLN1P1	RP11-332P22.2	0.7414878
IGHV4-59	IGHV3-23	0.7414429
CNR2	COL19A1	0.74136925
RP11-363G2.4	RP11-318G8.4	0.7411844
OR10C1	RPL3P11	0.741061
OR2J1	ZIM3	0.74084526
ZNF299P	PKP4P1	0.7407748
LINC01109	CTC-339O9.1	0.74070483
LINC01104	PARP1P1	0.74068063
POU3F4	OR8B5P	0.74061155
LINC01019	UROC1	0.7405514
DSG3	SERPINB5	0.7404446
RP11-492D6.3	RP11-44K6.4	0.7403919
OSBPL9P2	ZNF72P	0.7403753
IGHV4-59	IGKV4-1	0.7402477
RP13-631K18.2	MTND5P30	0.74023944
RP11-14K3.1	AC140725.8	0.74015075
FETUB	ERN2	0.74008465
KRT8P2	RP11-88E18.1	0.74002486
IGHV4-59	IGHV5-51	0.74002045
RP13-631K18.2	ZNF299P	0.7398065
GPR123	POU3F4	0.73979497
OR2I1P	UBD	0.7396038
S100A8	S100A9	0.7392802
IGHV3-21	CD79A	0.7391996
IGHV3-11	IGHV4-61	0.7390954
RP13-977E11.1	PAGE4	0.73901147
C11orf86	LINC00518	0.73893094
LAP3P2	RP5-865N13.1	0.7388764
CTD-2542C24.2	MARK2P15	0.738841
RP11-601H16.1	AC012494.1	0.7388275
NOP56P2	ELAVL2	0.73871
AC008060.7	NUTM2F	0.7385648
RP11-704C2.1	ACTR3BP5	0.73856145
FBXL21	MTRNR2L11	0.7385089
CTA-212A2.3	UNC5D	0.7384046
RP11-265P11.1	SPATA31A6	0.73823214
RP11-131J3.1	NBPF4	0.73800105
CYP11B1	RANBP20P	0.7379547
SSX1	OR11J5P	0.7379133
LINC01320	POTEH-AS1	0.73788697
IGHV4-39	IGHV1-24	0.7378184
FBXL21	RP11-107P7.6	0.73781127
ZNF735	HIST1H2BA	0.7377146
FCRL3	FCRL1	0.73755044
ZG16	SAMD7	0.73746985
FBXL21	RP11-204E4.4	0.7374156
ANKRD30B	CT62	0.73733354
LINC00934	RP3-333B15.4	0.7372528
C16orf82	OR2T2	0.73720646
IGLV1-44	IGKV2-28	0.73706657
LRRC3C	KATNBL1P4	0.7370105
RP11-168K9.2	PSMC1P6	0.73676556
IGLV2-8	IGKV1-6	0.7366821
IGHV3-21	IGHV4-34	0.7365744
GLDC	RP11-472F14.4	0.73656386
RP11-704C2.1	RP13-786C16.1	0.73655796
HNF1A-AS1	WBP11P1	0.7365346
LPCAT2BP	RP11-572C21.1	0.73645943
CYP2B7P	GRPR	0.7364163
VGLL1	LEMD1	0.73638505
FAM169B	PRR9	0.7362291
SPATA31C1	LINC01019	0.73616165
RP11-704C2.1	RP11-362I1.2	0.7361531
LINC01019	GPR158-AS1	0.7360139
LEMD1-AS1	RP11-360O19.4	0.7356212
SPRR4	ADH7	0.7356119
PRKRIRP9	GK2	0.7354713
RP11-16E18.1	SALL4P1	0.7354142
FAR2P1	KLF2P1	0.7354002
IGHV3-21	IGHM	0.73537916
GRPR	AGR3	0.7353417
RP11-208N14.4	RP11-287F9.1	0.7352836
FAR2P4	KLF2P4	0.7352023
IGHV3-21	IGLV3-21	0.73515105
POU6F2	GABRA4	0.73497313
RP11-704C2.1	RP11-19P22.5	0.7346897
RP11-467L19.16	RP11-142A22.4	0.73466724
PCAT29	RP11-279F6.1	0.73457116
HS3ST4	LINC01532	0.73452824
RP11-476K15.1	AC096669.3	0.734515
TRPM1	CCKBR	0.7344926
UBQLN1P1	SLC13A1	0.7343485
ATXN8OS	RP11-495K9.2	0.73422956
AC092669.6	CTB-181F24.1	0.7342089
SLC39A12-AS1	ZNF705D	0.7340097
AC005152.3	ROPN1	0.73398477
CTB-88F18.2	VN2R3P	0.73396724
IFNG	KIAA0125	0.7338945
LINC01019	RP4-764D2.1	0.7338843
GAPDHP26	RP11-56P9.10	0.7338558
PTPRD-AS2	AC062022.1	0.7337752
AC006004.1	OR5BE1P	0.73375255
AC006004.1	RP11-38O23.4	0.73357743
RP4-781K5.4	C11orf44	0.73356456
RP11-744D14.2	RP11-378I6.2	0.7335016
IGHV4-59	IGLV2-8	0.7334295
BLACAT1	AC005152.3	0.7333049
AC018890.4	NEUROG2	0.73328286
GMNC	LINC01204	0.7332137
AC006004.1	PSMC1P6	0.7331397
RP11-261N11.8	RP11-348M3.2	0.73302865
OR9H1P	OR14A2	0.732985
KLK10	KLK5	0.73297864
HTN3	RP4-547N15.3	0.73293185
IGKV1-9	IGKV2-24	0.73292637
RP11-544P1.3	AC106870.1	0.7328591
LINC01115	ZSWIM5P3	0.7328496
RP11-331K15.1	LINC00836	0.732824
RP11-403N16.3	RP4-570O12.3	0.73281854
ICE2P2	SNTG1	0.7327985
RP11-629G13.1	RP11-342M1.6	0.7327528
CTD-2313J23.1	RP4-815D20.1	0.7325683
OR4C13	OR4A19P	0.732444
RP11-488I20.8	FGFR3P5	0.7323916
AC006004.1	AC073869.7	0.73236173
GAGE1	TSPAN19	0.73235625
LINC01180	SPATA31A1	0.7323553
RP11-331K15.1	IRF5P1	0.73224354
LINC01109	RP11-113I24.1	0.73213625
IGHV5-51	IGKV1-12	0.73195505
XXyac-YR12DB5.1	SEPHS1P7	0.7318676
EXOC7P1	C2orf78	0.73181295
RP11-704C2.1	AC013733.4	0.7315369
PDX1	GXYLT1P6	0.73144287
CTB-43I4.1	RP11-284A20.2	0.7312828
LINC01109	REXO1L1P	0.73124933
RP11-1217F2.3	RP11-408B11.2	0.7311945
AC006004.1	RP11-409K15.1	0.73118275
MLIP	MLIP-AS1	0.7311232
LINC00538	CTD-2139B15.4	0.7310123
GATA3-AS1	RP11-379F12.3	0.7309559
RP11-555K2.2	MGC39584	0.7308779
CH17-38B12.4	GABRG2	0.7308624
CTC-327F10.5	CTC-327F10.4	0.7308237
LINC01192	MC2R	0.7307597
RP11-459O16.8	RP11-714M23.2	0.7307218
OR10C1	RP11-1084I9.1	0.7307103
PTPRD-AS2	LINC01192	0.7306153
RP13-631K18.2	KRT38	0.7305851
SSX1	CTD-2210P24.2	0.73053
PAX5	CLEC17A	0.7304633
FETUB	RP1-140J1.1	0.7304294
RP4-673D20.3	NLRP14	0.7303565
KRT18P46	SPAM1	0.7302945
POU3F3	LINC01159	0.73025614
PGAM1P13	SERPINA7	0.7302416
LINC01109	RP11-25D10.2	0.730161
IGLV1-44	IGHG2	0.7300751
RP11-559N14.5	RP11-327I22.5	0.73006445
OR10C1	CSN2	0.72995096
RP11-27M9.1	RP11-624L4.2	0.72978073
CLEC6A	CLEC4D	0.7296116
BLACE	SLC9A3P2	0.7294879
SYT10	RP11-391J13.1	0.7294373
RP11-401I19.2	RP11-151E14.1	0.7294266
RP11-27M9.1	RP11-88E18.1	0.7293279
KLK5	GABRP	0.72926545
SLC6A15	RPTN	0.7291169
IGHV3-21	IGHG1	0.7290487
SIRPG-AS1	PLA2G2D	0.7290211
RIMS2	RP11-5A11.2	0.72896665
SPATA31E2P	RP11-378I13.1	0.72894174
RP11-204I15.1	RP11-450H6.3	0.72892284
LINC01109	RP11-24P4.1	0.7288904
TRPM1	SERPINB13	0.72887826
ATXN8OS	GAPDHP26	0.72881144
RP11-489P6.2	TBC1D3P5	0.72879916
AC008060.7	RP11-775L16.1	0.7287399
RP11-14K3.1	RP11-179K3.2	0.7286646
KRT18P46	SLC17A1	0.7286392
CTD-2118P12.1	CTC-525D6.1	0.72852165
RP13-631K18.2	ZNF536	0.7285126
GRAMD4P7	OR4K7P	0.7285042
PTPRD-AS2	RP11-475D12.2	0.7284954
PGAM1P13	OR1I1	0.72848946
RP11-331K15.1	RP11-716D16.1	0.7284692
RP11-483I13.2	NBPF5P	0.72842616
UBQLN1P1	ADAM20P2	0.72839403
CTD-2384A14.1	RP11-31K23.2	0.72836906
RP11-305P22.9	GS1-204I12.3	0.7282887
RP11-17M15.2	AC068044.1	0.7282677
RP13-977E11.1	RP11-813N20.1	0.7281697
CTD-3145H4.1	RP11-158D2.2	0.72808844
FAR2P1	POTEI	0.72807926
TRIM49D1	ZNF92P2	0.7280788
MAGEA3	MAGEA12	0.72805834
RP11-268G13.1	RP11-267C16.1	0.7280037
RP11-104C4.2	HNF4A	0.7279169
CTNNA2	RP11-638F5.2	0.7278697
PMCHL2	RP11-136K7.2	0.7276056
IGKV1D-39	IGHV3-33	0.7275572
RP11-5A1.1	EI24P2	0.7275383
HSD17B7P1	RP11-325P15.2	0.7275174
RP11-595O22.1	RP11-87M18.2	0.7274936
AC008060.7	MIR670HG	0.7274701
PARP1P1	RXFP2	0.7273573
LINC01164	LL09NC01-254D11.1	0.7273219
TMEM161BP1	RP11-20F24.2	0.72729415
IGHV3-30	BLACAT1	0.7272797
TET1P1	POTEB3	0.7271526
RP11-410C4.5	RP11-104J23.1	0.7271504
ANKRD30B	ERBB4	0.72703165
OR4H12P	SOX1	0.72691983
LEMD1-AS1	LINC00706	0.72690177
RP11-704C2.1	RP11-71N10.1	0.72677547
RP13-631K18.2	TISP43	0.72655416
AC023128.2	ASZ1	0.7264812
IGLV1-44	IGKV1-9	0.7264528
RP11-31K23.2	CFHR4	0.72641945
RP11-753A21.2	RP11-753A21.1	0.72633857
OR4A21P	TRIM49C	0.7263078
LINC00836	ZIK1P1	0.7263066
RP11-104C4.2	TCP10	0.72622997
OR52N4	OR52P1P	0.72621393
AC003984.1	LINC01080	0.72619706
RP11-595O22.1	CAPZA3	0.7261555
RP11-1217F2.3	CTC-546K23.2	0.72608846
EPHA5	CTNNA2	0.7260458
IGHV3-21	IGHV4-59	0.725965
TPD52L3	RP11-325N19.3	0.7258558
UNC5D	AC007740.1	0.7258385
OR10K1	CACNG3	0.725751
OR4A21P	RP11-646E18.4	0.7257121
RP11-280O1.2	GS1-309P15.2	0.72565347
MYT1L-AS1	OR2G2	0.7255945
RP11-595O22.1	ZNF705A	0.7255843
ZSCAN5C	TRIM60P14	0.7255723
NCAPD2P1	RP11-267D19.2	0.72516495
GRAMD4P7	CXADRP3	0.72512907
RP11-5A1.1	TRIM64B	0.7250979
RP5-1186N24.3	LL09NC01-254D11.1	0.7250893
UBQLN1P1	RP11-402K9.1	0.7250614
TP53TG3D	RP11-114G11.4	0.72505397
RP11-499F3.2	CTD-2034I4.2	0.72504807
LL22NC03-27C5.1	RP11-215H22.1	0.72498035
RP5-896L10.1	ZSWIM2	0.72497517
SEMG2	RP11-463J7.2	0.72491217
OR14J1	XXyac-YM21GA2.1	0.7248989
EIF4BP8	RP3-326I13.1	0.72472507
RP11-764E7.1	AC096669.3	0.72467536
DCAF8L2	CTNNA2	0.72463006
LINC01104	SPATA31A3	0.72457427
RP13-977E11.1	FAM47B	0.7245331
LINC01109	LL09NC01-254D11.1	0.72450155
IGHV3-21	IGHV3-30	0.7244515
RP13-631K18.2	ICE2P2	0.7242839
OR9H1P	OR14K1	0.7242419
SPANXN2	LINC01538	0.7242281
THRAP3P1	KLK15	0.7241877
AF064858.7	RP11-179K3.2	0.7241486
LINC00558	CCER1	0.7241437
OR13C7	SETP9	0.7241191
RP13-631K18.2	RP11-641A6.5	0.7239661
IGHV3-21	KIAA0125	0.7238794
OR2W1	PGAM1P13	0.7238021
RP11-704C2.1	SSX2B	0.723715
PHF2P2	CARD18	0.72368956
LINC00934	RP11-866E20.3	0.7236349
SLC6A19	TMCC1P1	0.7236023
KCNMB3P1	HRG	0.72358316
RP4-760C5.5	RP11-19O2.2	0.72355956
RP11-103J17.2	BLACE	0.7235439
ATP5BP1	NEUROD1	0.72349817
SLC13A1	DCAF8L2	0.72348624
IGHV3-53	IGLV4-69	0.7233987
LYARP1	OR52A1	0.72339803
RP11-268G13.1	RP5-912I13.1	0.72329634
PLCH1	RP11-674E16.4	0.723219
C7orf65	PRR23C	0.7231402
CTD-3145H4.1	LINC00210	0.7231054
OTX2	RP11-61G24.1	0.723075
RP13-631K18.2	RP11-395E19.6	0.72304916
USP26	AC008132.15	0.72296685
CTD-2651B20.4	RP11-814P5.1	0.7229297
NPAP1P4	TBC1D27	0.7229288
RP11-360K13.1	ZCCHC16	0.7229195
AC009264.1	GPR1-AS	0.7225924
RP13-631K18.2	LINC00661	0.7225654
CTD-3145H4.1	RP11-497J7.4	0.72250175
KCNMB2-AS1	RP11-8L2.1	0.7224725
UBQLN1P1	ZNF479	0.72246426
RP11-826N14.2	RP11-35J23.1	0.7224199
RP11-629G13.1	XAGE1A	0.72240895
FAM169B	RP11-139I14.2	0.7222097
DMBT1P1	MKRN4P	0.7221424
RP11-704C2.1	RP11-470L19.2	0.7220831
RP11-473M10.3	RP11-408B11.2	0.7220237
CTD-3145H4.1	RP11-508O18.1	0.7220015
KCNMB3P1	RP11-544D21.2	0.72199696
PTPRD-AS2	PRDM9	0.72192496
UBQLN1P1	UGT2A3	0.7219002
RP13-977E11.1	AC068044.1	0.7218453
KRT8P2	RP11-557C9.1	0.72181606
NEUROD4	SLC17A4	0.7217681
LINC01192	PNPT1P2	0.72173744
IGHA1	IGHA2	0.7217373
RP11-24P4.1	SDAD1P2	0.7216587
MUC22	C17orf102	0.72159415
SNCA-AS1	NLRP8	0.72152084
PTPRD-AS2	ANKRD26P2	0.7214334
RP11-544P1.3	RP11-476D10.1	0.7213188
LINC01192	RP11-201A3.1	0.7212279
IGKV3D-20	IGKV2D-29	0.7207544
RPS3AP54	RP11-472F14.4	0.7206846
GAPDHP26	RP11-466J24.1	0.720638
MYH7	RP11-344L13.1	0.7206266
RP11-406A20.4	LBX1-AS1	0.7206262
RP13-631K18.2	RP11-541F9.2	0.7206256
CH17-360D5.2	ANXA8	0.72058886
