"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","6/140","75/9521",0.000795191349795818,0.00507699092561945,0.00373450188568077,"229/1373/5313/4143/383/5009",6
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","6/140","75/9521",0.000795191349795818,0.00507699092561945,0.00373450188568077,"433/432/7276/6906/84699/213",6
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","4/140","41/9521",0.00297427412803979,0.0182862779723928,0.0134509083373339,"1610/189/64902/635",4
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","4/140","43/9521",0.00354341371332319,0.0210073813004161,0.0154524808550936,"124/127/130/126",4
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","3/140","22/9521",0.0039048101620013,0.0223516719618005,0.0164413059452686,"131669/3034/10841",3
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","3/140","23/9521",0.00444266488757544,0.0245827457112508,0.0180824255073246,"1373/383/5009",3
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","3/140","26/9521",0.0063161897563819,0.0338221774051418,0.0248787100760713,"337/338/335",3
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","4/140","52/9521",0.00702236460950426,0.0353639390344881,0.0260127896512405,"64902/6898/635/4143",4
"Metabolism","Carbohydrate metabolism","hsa00650","Butanoate metabolism","3/140","27/9521",0.00703018065143438,0.0353639390344881,0.0260127896512405,"348158/123876/54988",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","6/140","117/9521",0.00748340286522563,0.0365366139890428,0.026875378711027,"229/54363/189/64902/1373/5313",6
NA,NA,"hsa04981","Folate transport and metabolism","3/140","31/9521",0.0103523354578408,0.0490996481714735,0.0361164184393844,"635/28234/10599",3
